,,Value,Value
Maize (corn),2012,2179817.6399999997,2
Maize (corn),2013,2181532.0,2
Maize (corn),2014,2013683.0,2
Maize (corn),2015,2260262.0,2
Maize (corn),2016,2028246.17,2
Maize (corn),2017,1969895.0,2
Maize (corn),2018,2035603.0,2
Maize (corn),2019,2028246.0,2
Maize (corn),2020,1883846.0,2
Maize (corn),2021,2024148.0,2
Mangoes guavas and mangosteens,2012,215943.5,2
Mangoes guavas and mangosteens,2013,493921.0,2
Mangoes guavas and mangosteens,2014,412339.0,2
Mangoes guavas and mangosteens,2015,380528.0,2
Mangoes guavas and mangosteens,2016,400454.94,2
Mangoes guavas and mangosteens,2017,414613.0,2
Mangoes guavas and mangosteens,2018,412649.71,2
Mangoes guavas and mangosteens,2019,463553.0,2
Mangoes guavas and mangosteens,2020,552066.94,2
Mangoes guavas and mangosteens,2021,489781.13,2
Natural rubber in primary forms,2012,0.0,2
Natural rubber in primary forms,2013,0.0,2
Natural rubber in primary forms,2014,0.0,2
Natural rubber in primary forms,2015,0.0,2
Natural rubber in primary forms,2016,0.0,2
Natural rubber in primary forms,2017,0.0,2
Natural rubber in primary forms,2018,0.0,2
Natural rubber in primary forms,2019,0.0,2
Natural rubber in primary forms,2020,0.0,2
Natural rubber in primary forms,2021,0.0,2
Oats,2012,24584.34,2
Oats,2013,24631.15,2
Oats,2014,27117.0,2
Oats,2015,28906.0,2
Oats,2016,35807.91,2
Oats,2017,34297.0,2
Oats,2018,35886.759999999995,2
Oats,2019,35807.91,2
Oats,2020,38585.0,2
Oats,2021,38233.0,2
Oil palm fruit,2012,556171.0,2
Oil palm fruit,2013,614071.0,2
Oil palm fruit,2014,655201.0,2
Oil palm fruit,2015,727441.0,2
Oil palm fruit,2016,787402.0,2
Oil palm fruit,2017,910973.0,2
Oil palm fruit,2018,987228.61,2
Oil palm fruit,2019,1006949.29,2
Oil palm fruit,2020,972801.73,2
Oil palm fruit,2021,1267489.16,2
Olives,2012,105755.0,2
Olives,2013,74210.0,2
Olives,2014,168932.0,2
Olives,2015,55653.0,2
Olives,2016,73275.66,2
Olives,2017,101534.0,2
Olives,2018,210869.41,2
Olives,2019,212543.74,2
Olives,2020,196183.85,2
Olives,2021,175306.92,2
Onions and shallots dry (excluding dehydrated),2012,795478.0,2
Onions and shallots dry (excluding dehydrated),2013,767140.0,2
Onions and shallots dry (excluding dehydrated),2014,776439.0,2
Onions and shallots dry (excluding dehydrated),2015,778989.0,2
Onions and shallots dry (excluding dehydrated),2016,723726.41,2
Onions and shallots dry (excluding dehydrated),2017,740690.0,2
Onions and shallots dry (excluding dehydrated),2018,659980.39,2
Onions and shallots dry (excluding dehydrated),2019,651950.3,2
Onions and shallots dry (excluding dehydrated),2020,619924.67,2
Onions and shallots dry (excluding dehydrated),2021,617350.25,2
Oranges,2012,455790.17,2
Oranges,2013,463925.98,2
Oranges,2014,478480.0,2
Oranges,2015,485031.0,2
Oranges,2016,521729.0,2
Oranges,2017,529834.0,2
Oranges,2018,534000.3200000001,2
Oranges,2019,541548.63,2
Oranges,2020,590428.28,2
Oranges,2021,607633.31,2
Other beans green,2012,21152.39,2
Other beans green,2013,19583.0,2
Other beans green,2014,19582.0,2
Other beans green,2015,20846.0,2
Other beans green,2016,19581.0,2
Other beans green,2017,15149.0,2
Other beans green,2018,15701.38,2
Other beans green,2019,15185.2,2
Other beans green,2020,17413.39,2
Other beans green,2021,21866.82,2
Other citrus fruit n.e.c.,2012,62759.44,2
Other citrus fruit n.e.c.,2013,64424.38,2
Other citrus fruit n.e.c.,2014,65863.12,2
Other citrus fruit n.e.c.,2015,67310.58,2
Other citrus fruit n.e.c.,2016,68628.23999999999,2
Other citrus fruit n.e.c.,2017,69790.84,2
Other citrus fruit n.e.c.,2018,68576.55,2
Other citrus fruit n.e.c.,2019,68998.55,2
Other citrus fruit n.e.c.,2020,69121.31,2
Other citrus fruit n.e.c.,2021,68899.14,2
Other fruits n.e.c.,2012,97582.8,2
Other fruits n.e.c.,2013,98244.5,2
Other fruits n.e.c.,2014,137040.0,2
Other fruits n.e.c.,2015,136439.0,2
Other fruits n.e.c.,2016,137404.0,2
Other fruits n.e.c.,2017,139935.0,2
Other fruits n.e.c.,2018,144111.0,2
Other fruits n.e.c.,2019,145759.66,2
Other fruits n.e.c.,2020,151360.41,2
Other fruits n.e.c.,2021,145962.98,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2012,2350.88,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2013,2388.0,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2014,2462.12,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2015,2572.5299999999997,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2016,2507.2200000000003,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2017,2460.08,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2018,2531.27,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2019,2518.8599999999997,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2020,2524.74,2
Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2021,2524.96,2
Other oil seeds n.e.c.,2012,0.0,2
Other oil seeds n.e.c.,2013,0.0,2
Other oil seeds n.e.c.,2014,0.0,2
Other oil seeds n.e.c.,2015,0.0,2
Other oil seeds n.e.c.,2016,0.0,2
Other oil seeds n.e.c.,2017,0.0,2
Other oil seeds n.e.c.,2018,0.0,2
Other oil seeds n.e.c.,2019,0.0,2
Other oil seeds n.e.c.,2020,0.0,2
Other oil seeds n.e.c.,2021,0.0,2
Other pulses n.e.c.,2012,4200.0,2
Other pulses n.e.c.,2013,3920.0,2
Other pulses n.e.c.,2014,4780.52,2
Other pulses n.e.c.,2015,5900.0,2
Other pulses n.e.c.,2016,7300.0,2
Other pulses n.e.c.,2017,5993.17,2
Other pulses n.e.c.,2018,6397.719999999999,2
Other pulses n.e.c.,2019,6564.3,2
Other pulses n.e.c.,2020,6318.4,2
Other pulses n.e.c.,2021,6426.8099999999995,2
Other stimulant spice and aromatic crops n.e.c.,2012,3231.32,2
Other stimulant spice and aromatic crops n.e.c.,2013,3288.29,2
Other stimulant spice and aromatic crops n.e.c.,2014,3507.66,2
Other stimulant spice and aromatic crops n.e.c.,2015,3747.25,2
Other stimulant spice and aromatic crops n.e.c.,2016,3514.4,2
Other stimulant spice and aromatic crops n.e.c.,2017,3926.9,2
Other stimulant spice and aromatic crops n.e.c.,2018,4138.4,2
Other stimulant spice and aromatic crops n.e.c.,2019,4442.0,2
Other stimulant spice and aromatic crops n.e.c.,2020,4707.0,2
Other stimulant spice and aromatic crops n.e.c.,2021,4676.139999999999,2
Other tropical fruits n.e.c.,2012,201909.0,2
Other tropical fruits n.e.c.,2013,210723.0,2
Other tropical fruits n.e.c.,2014,223057.75,2
Other tropical fruits n.e.c.,2015,235308.3,2
Other tropical fruits n.e.c.,2016,249136.0,2
Other tropical fruits n.e.c.,2017,265674.0,2
Other tropical fruits n.e.c.,2018,278910.98,2
Other tropical fruits n.e.c.,2019,265803.14,2
Other tropical fruits n.e.c.,2020,267737.51,2
Other tropical fruits n.e.c.,2021,272111.18,2
Other vegetables fresh n.e.c.,2012,65168.7,2
Other vegetables fresh n.e.c.,2013,65453.3,2
Other vegetables fresh n.e.c.,2014,86195.0,2
Other vegetables fresh n.e.c.,2015,89189.0,2
Other vegetables fresh n.e.c.,2016,89292.0,2
Other vegetables fresh n.e.c.,2017,87192.0,2
Other vegetables fresh n.e.c.,2018,96523.0,2
Other vegetables fresh n.e.c.,2019,96095.57,2
Other vegetables fresh n.e.c.,2020,92162.11,2
Other vegetables fresh n.e.c.,2021,91872.56,2
Papayas,2012,133882.77000000002,2
Papayas,2013,161590.0,2
Papayas,2014,160768.0,2
Papayas,2015,156080.0,2
Papayas,2016,181765.32,2
Papayas,2017,190063.0,2
Papayas,2018,188322.13,2
Papayas,2019,177908.57,2
Papayas,2020,201514.08,2
Papayas,2021,203126.99,2
Peaches and nectarines,2012,52713.0,2
Peaches and nectarines,2013,55571.0,2
Peaches and nectarines,2014,58152.0,2
Peaches and nectarines,2015,56755.0,2
Peaches and nectarines,2016,56506.0,2
Peaches and nectarines,2017,51452.0,2
Peaches and nectarines,2018,50701.0,2
Peaches and nectarines,2019,50844.0,2
Peaches and nectarines,2020,45867.0,2
Peaches and nectarines,2021,51693.0,2
Pears,2012,5050.5,2
Pears,2013,4882.93,2
Pears,2014,5155.0,2
Pears,2015,4909.0,2
Pears,2016,4431.860000000001,2
Pears,2017,4771.0,2
Pears,2018,5010.33,2
Pears,2019,4550.85,2
Pears,2020,4376.48,2
Pears,2021,4663.6,2
Peas dry,2012,105998.0,2
Peas dry,2013,107657.36,2
Peas dry,2014,101839.0,2
Peas dry,2015,103691.0,2
Peas dry,2016,98305.91,2
Peas dry,2017,97525.0,2
Peas dry,2018,98928.20999999999,2
Peas dry,2019,94488.66,2
Peas dry,2020,91138.56,2
Peas dry,2021,92721.16,2
Peas green,2012,149428.16,2
Peas green,2013,164161.15,2
Peas green,2014,168601.0,2
Peas green,2015,167630.0,2
Peas green,2016,154076.0,2
Peas green,2017,164017.0,2
Peas green,2018,173151.08,2
Peas green,2019,163036.09,2
Peas green,2020,170411.56,2
Peas green,2021,175801.96,2
Pepper (Piper spp.) raw,2012,516.0,2
Pepper (Piper spp.) raw,2013,472.31,2
Pepper (Piper spp.) raw,2014,433.0,2
Pepper (Piper spp.) raw,2015,354.0,2
Pepper (Piper spp.) raw,2016,299.4,2
Pepper (Piper spp.) raw,2017,329.24,2
Pepper (Piper spp.) raw,2018,245.0,2
Pepper (Piper spp.) raw,2019,241.0,2
Pepper (Piper spp.) raw,2020,272.0,2
Pepper (Piper spp.) raw,2021,423.0,2
Pineapples,2012,452645.13,2
Pineapples,2013,453336.0,2
Pineapples,2014,471214.0,2
Pineapples,2015,465817.0,2
Pineapples,2016,476168.95,2
Pineapples,2017,510100.0,2
Pineapples,2018,563750.87,2
Pineapples,2019,581050.44,2
Pineapples,2020,599889.79,2
Pineapples,2021,605028.2,2
Plantains and cooking bananas,2012,0.0,2
Plantains and cooking bananas,2013,0.0,2
Plantains and cooking bananas,2014,0.0,2
Plantains and cooking bananas,2015,0.0,2
Plantains and cooking bananas,2016,0.0,2
Plantains and cooking bananas,2017,0.0,2
Plantains and cooking bananas,2018,0.0,2
Plantains and cooking bananas,2019,0.0,2
Plantains and cooking bananas,2020,0.0,2
Plantains and cooking bananas,2021,0.0,2
Plums and sloes,2012,8769.0,2
Plums and sloes,2013,10954.0,2
Plums and sloes,2014,9354.0,2
Plums and sloes,2015,9842.0,2
Plums and sloes,2016,10780.0,2
Plums and sloes,2017,9137.0,2
Plums and sloes,2018,10205.36,2
Plums and sloes,2019,9571.0,2
Plums and sloes,2020,8008.01,2
Plums and sloes,2021,8894.11,2
Pomelos and grapefruits,2012,6335.86,2
Pomelos and grapefruits,2013,5990.0,2
Pomelos and grapefruits,2014,7124.0,2
Pomelos and grapefruits,2015,8612.0,2
Pomelos and grapefruits,2016,7539.0,2
Pomelos and grapefruits,2017,7649.0,2
Pomelos and grapefruits,2018,7541.78,2
Pomelos and grapefruits,2019,7385.36,2
Pomelos and grapefruits,2020,7203.24,2
Pomelos and grapefruits,2021,7039.96,2
Potatoes,2012,4786939.65,2
Potatoes,2013,4887805.0,2
Potatoes,2014,5023367.0,2
Potatoes,2015,5020487.0,2
Potatoes,2016,5720408.02,2
Potatoes,2017,5086694.0,2
Potatoes,2018,5456791.31,2
Potatoes,2019,5720408.02,2
Potatoes,2020,5848531.0,2
Potatoes,2021,5992047.0,2
Pumpkins squash and gourds,2012,230135.0,2
Pumpkins squash and gourds,2013,242052.74,2
Pumpkins squash and gourds,2014,259401.0,2
Pumpkins squash and gourds,2015,262883.0,2
Pumpkins squash and gourds,2016,229498.0,2
Pumpkins squash and gourds,2017,205209.0,2
Pumpkins squash and gourds,2018,231296.0,2
Pumpkins squash and gourds,2019,236419.0,2
Pumpkins squash and gourds,2020,199037.73,2
Pumpkins squash and gourds,2021,225247.34,2
Quinces,2012,5828.85,2
Quinces,2013,6518.93,2
Quinces,2014,6935.67,2
Quinces,2015,7604.0,2
Quinces,2016,8077.85,2
Quinces,2017,8193.0,2
Quinces,2018,5412.84,2
Quinces,2019,6911.65,2
Quinces,2020,6844.74,2
Quinces,2021,4090.57,2
Quinoa,2012,82707.6,2
Quinoa,2013,96997.0,2
Quinoa,2014,182865.0,2
Quinoa,2015,174969.0,2
Quinoa,2016,154272.59,2
Quinoa,2017,140378.0,2
Quinoa,2018,152564.13,2
Quinoa,2019,154272.59,2
Quinoa,2020,167911.0,2
Quinoa,2021,174923.0,2
Rice,2012,3434249.45,2
Rice,2013,3446585.0,2
Rice,2014,3277981.0,2
Rice,2015,3550909.0,2
Rice,2016,3605370.47,2
Rice,2017,3541797.0,2
Rice,2018,3995837.99,2
Rice,2019,3605370.47,2
Rice,2020,3851109.0,2
Rice,2021,3892120.0,2
Rye,2012,170.0,2
Rye,2013,229.4,2
Rye,2014,207.0,2
Rye,2015,153.0,2
Rye,2016,102.0,2
Rye,2017,138.85,2
Rye,2018,169.0,2
Rye,2019,102.0,2
Rye,2020,62.0,2
Rye,2021,64.0,2
Seed cotton unginned,2012,161639.0,2
Seed cotton unginned,2013,113637.0,2
Seed cotton unginned,2014,123921.46,2
Seed cotton unginned,2015,97081.0,2
Seed cotton unginned,2016,63457.26,2
Seed cotton unginned,2017,31491.0,2
Seed cotton unginned,2018,58795.62,2
Seed cotton unginned,2019,75283.7,2
Seed cotton unginned,2020,26329.87,2
Seed cotton unginned,2021,22408.59,2
Sesame seed,2012,512.0,2
Sesame seed,2013,469.65,2
Sesame seed,2014,446.0,2
Sesame seed,2015,434.11,2
Sesame seed,2016,532.74,2
Sesame seed,2017,708.97,2
Sesame seed,2018,813.0,2
Sesame seed,2019,854.0,2
Sesame seed,2020,650.0,2
Sesame seed,2021,808.0,2
Sorghum,2012,159.7,2
Sorghum,2013,187.87,2
Sorghum,2014,513.28,2
Sorghum,2015,196.0,2
Sorghum,2016,116.69,2
Sorghum,2017,208.0,2
Sorghum,2018,262.53999999999996,2
Sorghum,2019,116.69,2
Sorghum,2020,167.64,2
Sorghum,2021,157.0,2
Sour cherries,2012,1464.5,2
Sour cherries,2013,1520.88,2
Sour cherries,2014,1475.1,2
Sour cherries,2015,1421.0,2
Sour cherries,2016,1403.43,2
Sour cherries,2017,1514.0,2
Sour cherries,2018,1584.59,2
Sour cherries,2019,1798.03,2
Sour cherries,2020,1683.32,2
Sour cherries,2021,1462.41,2
Soya beans,2012,3487.0,2
Soya beans,2013,4223.0,2
Soya beans,2014,3288.0,2
Soya beans,2015,2971.0,2
Soya beans,2016,2162.2200000000003,2
Soya beans,2017,2324.0,2
Soya beans,2018,2361.54,2
Soya beans,2019,2266.27,2
Soya beans,2020,2180.76,2
Soya beans,2021,2446.49,2
Spinach,2012,30987.12,2
Spinach,2013,31363.0,2
Spinach,2014,31593.0,2
Spinach,2015,31733.0,2
Spinach,2016,30152.8,2
Spinach,2017,25695.0,2
Spinach,2018,26656.81,2
Spinach,2019,29959.34,2
Spinach,2020,31355.14,2
Spinach,2021,32845.380000000005,2
Strawberries,2012,31990.68,2
Strawberries,2013,32308.9,2
Strawberries,2014,36638.0,2
Strawberries,2015,26466.0,2
Strawberries,2016,26969.76,2
Strawberries,2017,26018.0,2
Strawberries,2018,24615.84,2
Strawberries,2019,29915.89,2
Strawberries,2020,22864.28,2
Strawberries,2021,39901.45,2
String beans,2012,34097.7,2
String beans,2013,34140.0,2
String beans,2014,34080.0,2
String beans,2015,34113.0,2
String beans,2016,33964.0,2
String beans,2017,34073.0,2
String beans,2018,34354.25,2
String beans,2019,36464.15,2
String beans,2020,36232.979999999996,2
String beans,2021,36533.229999999996,2
Sugar cane,2012,10449992.0,2
Sugar cane,2013,11074445.3,2
Sugar cane,2014,11479974.19,2
Sugar cane,2015,10296430.0,2
Sugar cane,2016,9920221.59,2
Sugar cane,2017,9477142.0,2
Sugar cane,2018,10421015.91,2
Sugar cane,2019,10989378.88,2
Sugar cane,2020,10553390.33,2
Sugar cane,2021,9912659.68,2
Sweet potatoes,2012,321421.96,2
Sweet potatoes,2013,308047.0,2
Sweet potatoes,2014,294401.0,2
Sweet potatoes,2015,304520.0,2
Sweet potatoes,2016,284811.43,2
Sweet potatoes,2017,270601.0,2
Sweet potatoes,2018,290692.8,2
Sweet potatoes,2019,317716.78,2
Sweet potatoes,2020,257463.46,2
Sweet potatoes,2021,322320.23,2
Tangerines mandarins clementines,2012,292752.19,2
Tangerines mandarins clementines,2013,326264.0,2
Tangerines mandarins clementines,2014,352802.0,2
Tangerines mandarins clementines,2015,372118.0,2
Tangerines mandarins clementines,2016,418731.0,2
Tangerines mandarins clementines,2017,423242.0,2
Tangerines mandarins clementines,2018,498441.96,2
Tangerines mandarins clementines,2019,521268.3,2
Tangerines mandarins clementines,2020,544240.06,2
Tangerines mandarins clementines,2021,607368.6,2
Tea leaves,2012,5671.04,2
Tea leaves,2013,6548.47,2
Tea leaves,2014,6105.0,2
Tea leaves,2015,5924.0,2
Tea leaves,2016,5387.469999999999,2
Tea leaves,2017,3755.0,2
Tea leaves,2018,2860.85,2
Tea leaves,2019,3640.1,2
Tea leaves,2020,3696.2,2
Tea leaves,2021,3737.1400000000003,2
Tomatoes,2012,234931.0,2
Tomatoes,2013,259315.0,2
Tomatoes,2014,271952.04,2
Tomatoes,2015,242191.0,2
Tomatoes,2016,238967.89,2
Tomatoes,2017,226236.0,2
Tomatoes,2018,258274.21,2
Tomatoes,2019,206661.27,2
Tomatoes,2020,208899.33,2
Tomatoes,2021,249174.16,2
Unmanufactured tobacco,2012,1730.0,2
Unmanufactured tobacco,2013,2351.0,2
Unmanufactured tobacco,2014,2630.93,2
Unmanufactured tobacco,2015,1988.0,2
Unmanufactured tobacco,2016,2306.0,2
Unmanufactured tobacco,2017,2262.0,2
Unmanufactured tobacco,2018,2142.0,2
Unmanufactured tobacco,2019,2257.0,2
Unmanufactured tobacco,2020,1946.0,2
Unmanufactured tobacco,2021,2269.0,2
Walnuts in shell,2012,431.0,2
Walnuts in shell,2013,440.49,2
Walnuts in shell,2014,410.0,2
Walnuts in shell,2015,397.0,2
Walnuts in shell,2016,360.86,2
Walnuts in shell,2017,376.0,2
Walnuts in shell,2018,366.0,2
Walnuts in shell,2019,387.0,2
Walnuts in shell,2020,341.0,2
Walnuts in shell,2021,308.0,2
Watermelons,2012,98568.0,2
Watermelons,2013,94607.98,2
Watermelons,2014,94600.0,2
Watermelons,2015,99202.0,2
Watermelons,2016,89209.72,2
Watermelons,2017,99965.0,2
Watermelons,2018,105242.32,2
Watermelons,2019,131995.6,2
Watermelons,2020,120342.25,2
Watermelons,2021,131697.47,2
Wheat,2012,378133.45999999996,2
Wheat,2013,383752.0,2
Wheat,2014,359641.0,2
Wheat,2015,353206.0,2
Wheat,2016,309102.76,2
Wheat,2017,319739.0,2
Wheat,2018,322007.82,2
Wheat,2019,309102.76,2
Wheat,2020,301222.0,2
Wheat,2021,320930.0,2
Yautia,2012,21009.16,2
Yautia,2013,12652.48,2
Yautia,2014,6795.27,2
Yautia,2015,4538.26,2
Yautia,2016,2360.53,2
Yautia,2017,3144.3,2
Yautia,2018,3570.0,2
Yautia,2019,1705.0,2
Yautia,2020,2666.0,2
Yautia,2021,1452.0,2
